class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,-0.37152,0.036242,0.42518,-4.3096,0.77732,-0.10815,1.279,0.058708,-0.98408,1.0151
1,-1.4244,-0.16964,0.16574,-4.5105,-0.29319,-0.032014,-0.89146,-0.09712,0.64032,1.1465
1,-0.51645,-0.25915,0.27318,-2.6313,0.71298,-0.53221,-0.26586,0.0058876,-0.56097,-0.30522
1,-0.61257,-0.10915,-0.022586,-3.1988,1.3411,0.27173,-0.80605,-0.12845,-0.19643,-0.48067
1,0.74608,0.069332,-0.20712,-4.259,-0.34106,-0.33987,-0.084706,-0.051277,0.67425,0.68661
1,-1.6092,-0.032563,0.17728,-1.923,0.3479,-0.88492,-0.48478,-0.088576,1.8353,-0.50888
1,-0.57677,0.93615,0.24573,-1.1029,0.44858,-0.5686,-0.23904,-0.064186,2.5718,1.0059
1,-0.24482,-0.41801,-0.0088505,-2.5237,1.3639,-0.017943,-0.12085,-0.18957,3.536,0.36883
1,0.29171,-0.36288,-0.016329,-1.9393,-0.13465,0.36557,-0.10996,-0.15164,-1.1008,-0.41897
1,-0.30643,-0.29117,0.38925,-0.88633,0.23348,0.32468,-0.4698,-0.15287,1.2288,0.15359
1,-1.4124,-0.10048,-0.12012,-3.682,0.11225,-0.97328,0.11768,0.0032195,-0.39655,-0.44472
1,0.77445,0.32062,0.66787,-2.3627,0.19638,-0.27459,-0.66666,-0.065307,-0.88829,0.38541
1,2.6675,-0.10004,0.13023,-2.2591,-0.40297,0.6702,-0.37174,-0.24495,-0.022311,-0.028512
1,0.52282,0.23669,0.30286,-1.274,0.25419,0.29981,-0.7345,-0.28052,0.048645,-0.016411
1,-1.0934,0.10762,0.062592,-2.7223,-0.23968,-1.0532,0.24384,0.085241,-0.61147,-0.5628
1,-0.48284,0.078287,0.88705,-2.7131,0.93685,-0.22893,0.561,-0.1351,-0.82227,-0.40281
1,0.49368,-0.35034,-0.030764,-1.9883,1.7994,0.044945,-0.56095,-0.30334,2.7427,0.15918
1,-0.52788,0.12012,1.1548,-2.482,-0.56171,-0.45137,-0.34664,-0.12356,0.27976,0.47039
