class,TFRC,CD26,MIG6,PI3KP110ALPHA,GAPDH,INPP4B,GSK3ALPHABETA,BRD4,NDRG1_pT346,FOXM1,NF2,HER3,ACVRL1,DUSP4,RAB25,JNK_pT183Y185,IGFBP2,PKCDELTA_pS664,X4EBP1
1,-0.98932,-0.01755,-0.07713,-0.55587,-2.7361,0.53276,-0.13545,-0.5127,0.5476,-0.64061,0.20936,0.36972,-0.41329,0.59284,1.2502,-0.13611,0.56582,0.08493,-0.73915
1,-1.5964,0.31415,0.072765,-0.50579,-2.735,-0.39599,-0.29377,-0.35581,0.99205,-1.0772,0.0072974,0.62031,-0.056274,-0.54398,0.68914,0.1164,-0.2533,-0.16647,-0.91201
1,-1.0888,-0.06546,0.28653,-0.12333,-4.3925,-0.13481,-0.55773,-0.79835,1.1957,-0.048021,-0.66961,-0.27244,0.095546,1.2899,-0.19925,0.050671,1.5897,-0.24919,1.3703
1,-0.41969,0.26291,0.15121,-0.49559,-3.4643,-0.1786,-0.086433,-0.31012,0.49168,-0.71643,-0.38052,0.46381,-0.095261,-0.68453,0.030487,0.30152,-0.88635,0.1283,-0.51675
1,-0.2906,-0.056949,-0.0068579,-0.52918,-4.4498,-0.14743,-0.33204,-0.66986,1.084,-0.76703,-0.022844,0.33219,-0.17616,-0.7872,-0.73087,0.17961,-0.72168,-0.049001,-0.98771
1,-0.78827,0.014672,0.03336,-0.43868,-1.5794,0.61493,-0.14202,-0.35389,2.0383,-0.033986,-0.29576,0.54797,-0.1257,0.1603,0.02619,-0.20222,0.51073,-0.072482,0.062039
1,-0.29741,-0.1292,-0.0091149,-0.38983,-3.423,0.43683,-0.32372,-0.23374,0.43952,-0.71297,0.23424,0.48501,-0.054873,-0.61548,-0.24408,-0.09897,-0.75553,0.049575,-0.67233
1,-0.45394,0.064024,0.1852,-0.30662,-1.9628,0.15138,-0.36749,-0.82747,0.93371,-0.52786,-0.17582,0.30184,-0.060591,-0.31519,-0.1862,-0.14751,-0.9995,0.081744,-0.29851
1,-0.20719,-0.033968,0.19666,-0.28311,-2.533,1.035,0.01605,-0.064322,2.3606,-0.57722,-0.090239,1.4188,-0.21774,1.6373,1.035,-0.11679,1.5599,-0.15386,-0.56839
1,-0.38851,-0.14947,0.074469,-0.34494,-2.3922,1.9749,-0.25391,-0.66133,1.2706,-0.21777,-0.35224,0.39247,-0.039814,-0.48209,0.24729,0.24337,0.59397,-0.023338,0.08325
1,-1.0166,0.41882,-0.1514,-0.42221,-3.139,-0.26437,-0.29537,-0.2352,0.39701,-0.87173,-0.21616,0.57286,-0.11027,-0.33168,1.0614,0.17705,1.0583,-0.08246,-0.86385
1,0.31546,-0.14121,0.094883,-0.17864,-0.81984,2.5473,-0.26427,0.18767,0.5477,-0.50685,0.033801,0.30373,-0.21196,-0.37297,-0.03202,-0.038294,-1.0773,0.20481,0.60342
1,-1.2068,0.36475,0.047183,-0.15437,-1.2413,0.61,-0.32738,-0.26257,1.759,-0.91396,0.12421,0.56952,-0.13213,-0.57733,-0.42049,-0.16279,0.80231,0.19515,-0.37211
1,-0.02729,0.62265,0.95946,-0.34859,-2.7981,1.1364,-0.048964,-0.29427,0.59845,-0.077997,-0.14169,0.15259,-0.26998,0.7103,0.94271,-0.25125,-1.1463,-0.083936,-0.023647
